time_s,pH
533.79,7.6628
535.79,7.6628
537.81,7.6681
538.55,7.6681
540.82,7.6628
541.59,7.6646
543.86,7.6699
545.88,7.6699
547.93,7.6682
549.95,7.6717
551.94,7.6717
553.97,7.6717
556.01,7.6682
556.75,7.6682
557.75,7.6682
559.98,7.6717
560.75,7.6717
563.0,7.6735
565.02,7.6682
565.79,7.6735
566.79,7.6718
569.04,7.6735
569.82,7.6718
571.08,7.6718
571.87,7.6682
572.87,7.6718
575.1,7.6718
575.83,7.6735
577.18,7.6735
579.27,7.677
581.3,7.6718
582.1,7.6735
583.09,7.6735
585.35,7.6718
587.38,7.6735
588.16,7.677
589.16,7.6718
591.42,7.677
592.22,7.6718
593.21,7.6718
595.46,7.6718
597.52,7.677
598.33,7.6753
599.33,7.6718
601.56,7.677
603.64,7.6718
604.36,7.6753
605.43,7.6753
607.67,7.6753
609.71,7.6753
611.74,7.6753
613.77,7.6806
615.8,7.677
616.56,7.6788
617.83,7.6806
618.61,7.677
619.6,7.6806
621.83,7.6753
623.86,7.6753
624.62,7.6788
625.61,7.6753
627.85,7.6753
628.61,7.6753
629.61,7.6753
631.87,7.6806
633.88,7.6788
634.64,7.6753
635.64,7.6788
637.88,7.6753
638.63,7.6788
639.63,7.6788
641.9,7.6806
642.66,7.6788
643.67,7.6806
644.67,7.6806
646.92,7.6788
648.93,7.6788
649.7,7.6806
650.7,7.6788
651.71,7.6841
653.94,7.6806
655.96,7.6841
656.71,7.6841
657.73,7.6806
658.73,7.6788
660.94,7.6841
662.95,7.6788
663.72,7.6841
665.98,7.6788
666.75,7.6788
668.0,7.6823
668.78,7.6823
669.78,7.6841
672.03,7.6841
674.07,7.6841
674.83,7.6841
675.83,7.6841
678.08,7.6841
680.11,7.6841
682.13,7.6877
684.2,7.6841
686.25,7.6824
688.25,7.6859
690.29,7.6859
691.05,7.6824
692.34,7.6824
694.38,7.6824
696.48,7.6877
698.52,7.6859
699.31,7.6877
700.32,7.6859
702.54,7.6859
704.6,7.6842
705.38,7.6877
706.38,7.6842
708.63,7.6877
710.64,7.6877
712.65,7.6877
714.68,7.6877
716.77,7.6877
717.48,7.693
718.82,7.6877
720.83,7.6877
721.6,7.6877
722.6,7.693
724.84,7.6877
726.87,7.6913
728.88,7.6913
730.9,7.6913
732.94,7.693
734.96,7.693
736.95,7.6913
738.97,7.6913
740.95,7.6913
741.74,7.6913
742.73,7.6913
744.96,7.6913
746.96,7.6913
747.74,7.6895
748.74,7.6913
750.98,7.693
753.01,7.6877
755.03,7.6895
757.06,7.693
759.07,7.693
761.07,7.693
763.1,7.693
765.16,7.6913
765.88,7.6913
767.19,7.693
769.25,7.6913
771.3,7.6913
772.1,7.6913
773.1,7.6913
775.35,7.6913
777.43,7.693
778.15,7.693
779.46,7.693
781.5,7.6913
783.57,7.693
785.62,7.6913
786.42,7.6913
787.42,7.6913
